Resim,Ürün Adı,Adet,Birim,Miktar,Ürün Kodu,Son Fiyat,Eski Fiyat,Açıklama,Kategori,Kaynak,Tarih,Adet,Birim,Miktar,Saklama Koşulları,İçindekiler,Besin Değerleri,Alerjen Uyarısı,Kullanım Önerisi
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/1lxFTFnC6f_500x500.png,Kavun Kg,,,,20000833,"₺12,75",-,"A101 Kapıda’da sunulan Kavun 5 kg ağırlığında bir adet kavun olarak sunulur. Dışı kabuklu meyve, sulu yapısı ve aromatik tadı ile severek tüketilir. 
Genel Özellikler
Yaz meyvesi: Yazın yetişen ve yaz meyvesi olarak bilinen gıda maddesi
Çekirdekli Yapı: Orta kısmında yer alan ve kolay bir şekilde sıyrılan yapısı
Yüksek Lif: Yüksek lif kaynağı yapısı ile uzun süreli tokluk hissi etkisi
Uyarılar
Potasyum, sodyum, kalsiyum, magnezyum, fosfat ile likopen ve beta-karoten gibi bitkisel besinler içerir.
Saklama Koşulları
0° ila 5° C’de muhafaza edilmelidir.
Kullanım Tavsiyesi 
Dilimleyerek ve kabuğundan ayırarak servis edebilirsiniz. Öğün arası olarak karpuz ve peynir ile birlikte tüketebilirsiniz. Aynı zamanda yaz aylarında dondurma da yapabilirsiniz.
  Gramaj stoktaki ürüne göre değişebilecek olup, teslim edilen ürün gramajına göre tahsilat yapılmaktadır.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Meyve Sebze,https://www.a101.com.tr/kapida/meyve-sebze/kavun-kg_p-20000833,14/10/2024 11:26,,,,"0° ila 5° C’de muhafaza edilmelidir.
Kullanım Tavsiyesi 
Dilimleyerek ve kabuğundan ayırarak servis edebilirsiniz. Öğün arası olarak karpuz ve peynir ile birlikte tüketebilirsiniz. Aynı zamanda yaz aylarında dondurma da yapabilirsiniz.
  Gramaj stoktaki ürüne göre değişebilecek olup, teslim edilen ürün gramajına göre tahsilat yapılmaktadır.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",,,,
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/wBVi1VFk1Q_500x500.png,Limon Kg,,,,20000800,"₺34,90",-,"A101 Kapıda’da sunulan Limon Kg, ekşi tadı ve sarı rengi ile dikkat çeker. Genel olarak sıkılarak suyu kullanılan limon meyvesi dilimlendikten sonra kurutularak tüketilebilir.
Genel Özellikler
Narenciye Meyvesi: İlkbaharda çiçek açan ve sonbaharda toplanan narenciye grubuna ait gıda maddesi
Hazım Kolaylığı: Pektin lifi barındıran yapı
Uyarılar
Pektin lifi, sitrik asit, ham protein, potasyum, fosfor, kalsiyum, bakır, manganez, demir, çinko, sodyum içerir.
Saklama Koşulları
14 °C ila 15 °C aralığında serin ortamda muhafaza edilmelidir.
Kullanım Tavsiyesi 
Kabuğu rendelenerek hamur işi ve tatlılara ilave edilebilir. Narenciye yardımıyla sıkılarak suyunu çıkartabilirsiniz. Limon suyu kendine has lezzeti ve kokusuyla salata, kek, kurabiye ve benzeri birçok gıdayı tatlandırmak için aroma verici ve sos olarak kullanılır. Limon dilimlerini içecek, pasta ve tatlı süslemek için de kullanabilirsiniz.
Gramaj stoktaki ürüne göre değişebilecek olup, teslim edilen ürün gramajına göre tahsilat yapılmaktadır.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Meyve Sebze,https://www.a101.com.tr/kapida/meyve-sebze/limon-kg_p-20000800,14/10/2024 11:26,,,,"14 °C ila 15 °C aralığında serin ortamda muhafaza edilmelidir.
Kullanım Tavsiyesi 
Kabuğu rendelenerek hamur işi ve tatlılara ilave edilebilir. Narenciye yardımıyla sıkılarak suyunu çıkartabilirsiniz. Limon suyu kendine has lezzeti ve kokusuyla salata, kek, kurabiye ve benzeri birçok gıdayı tatlandırmak için aroma verici ve sos olarak kullanılır. Limon dilimlerini içecek, pasta ve tatlı süslemek için de kullanabilirsiniz.
Gramaj stoktaki ürüne göre değişebilecek olup, teslim edilen ürün gramajına göre tahsilat yapılmaktadır.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",,,,
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/zXcoeSRFt-_500x500.png,İthal Muz Kg,,,,20000802,"₺89,00",-,"A101 Kapıda’da sunulan İthal Muz Kg her öğün tüketime uygundur. Parlak sarı renge sahip olan muz çeşidi kendine özgü aromatik tadı ile beğenilerek tüketilir. Pasta ve tatlılarda sıklıkla kullanılan muz, besleyici ve doyurucu içeriği sebebiyle öğün arası olarak da tüketilir.
Genel Özellikler
Kış Meyvesi: Kış mevsiminde yetişen gıda maddesi
Besin Profili: Ek gıdaya uygun karbonhidrat, şeker ve protein barındıran besin değerleri
Yüksek Lif: Tokluk hissi sağlayan lifli yapı
Uyarılar
Diyet lifi, fruktoz, protein, demir, fosfor, magnezyum, potasyum, kalsiyum, sodyum ve iyot içerir.
Saklama Koşulları
Rutubetten uzak serin ve kuru ortamda muhafaza edilmelidir.
Kullanım Tavsiyesi 
Kabuğunu soyduktan sonra dilimleyerek ve diğer meyveler ile karıştırarak tüketebilirsiniz. Muz, ceviz ve bal üçlüsüyle basit ve lezzetli tatlı yapabileceğiniz gibi tatlılarda da kullanabilirsiniz.
  Gramaj stoktaki ürüne göre değişebilecek olup, teslim edilen ürün gramajına göre tahsilat yapılmaktadır.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Meyve Sebze,https://www.a101.com.tr/kapida/meyve-sebze/ithal-muz-kg_p-20000802,14/10/2024 11:26,,,,"Rutubetten uzak serin ve kuru ortamda muhafaza edilmelidir.
Kullanım Tavsiyesi 
Kabuğunu soyduktan sonra dilimleyerek ve diğer meyveler ile karıştırarak tüketebilirsiniz. Muz, ceviz ve bal üçlüsüyle basit ve lezzetli tatlı yapabileceğiniz gibi tatlılarda da kullanabilirsiniz.
  Gramaj stoktaki ürüne göre değişebilecek olup, teslim edilen ürün gramajına göre tahsilat yapılmaktadır.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",,,,
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/f9sW45lDzB_500x500.png,Avokado Adet,,,,20000853,"₺37,90",-,"İçeriğinde kaliteli yağlar bulunan avokado A101 Kapıda’da sunulur. Kolay soyulan kabuğu ile kullanımı kolaydır. Yumuşak yapıya, yeşil ve parlak renge sahiptir. 
Genel Özellikler
Yaz Meyvesi: Genellikle ilkbahar mevsiminde yetişir.
Çeşitli Kullanım: Kahvaltı dışında farklı öğünlerde tüketime uyum.
Kullanım Şekli: Kabuğundan ayrılan yeşil kısmı ezilerek kullanılabilir. 
Uyarılar
Alerjik bünyelerin dikkatle tüketmesi önerilir. 
Saklama Koşulları
Olgunlaşmamış avokado serin ve nemsiz ortamda; olgun avokado buzdolabında muhafaza edilmesi önerilir.
Kullanım Tavsiyesi
Avakado, salatalar, mezelerde ve söğüşlerde kullanılabilir. Sade tüketilmek istenirse üzerine limon ve karabiber ilave ederek farklı tarifler hazırlayabilirsiniz. Sert avokado yanına limon ve elma koyarak yumuşatabilirsiniz. Avakadodan yapacağınız sos, sandviç ve makarnalarla ara ve öğünlerinize lezzet katabilirsiniz. 



Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Meyve Sebze,https://www.a101.com.tr/kapida/meyve-sebze/avokado-adet_p-20000853,14/10/2024 11:26,,,,"Olgunlaşmamış avokado serin ve nemsiz ortamda; olgun avokado buzdolabında muhafaza edilmesi önerilir.
Kullanım Tavsiyesi
Avakado, salatalar, mezelerde ve söğüşlerde kullanılabilir. Sade tüketilmek istenirse üzerine limon ve karabiber ilave ederek farklı tarifler hazırlayabilirsiniz. Sert avokado yanına limon ve elma koyarak yumuşatabilirsiniz. Avakadodan yapacağınız sos, sandviç ve makarnalarla ara ve öğünlerinize lezzet katabilirsiniz. 



Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",,,,
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/BB6Ileqn17_500x500.png,Granny Smith Elma Kg,,,,20000809,"₺45,00",-,"A101 Kapıda’da sunulan Granny Smith Elma kg, hafif ekşi tadı ve parlak yeşil rengi ile dikkat çeker. Dışı sert içi sulu yapısı sebebiyle ferahlatıcı bir etkiye sahiptir. Yeşil elma doyurucu özelliği ile ara öğün olarak tüketime uygundur.
Genel Özellikler
Sonbahar Meyvesi: Eylül ayında hasat edilen gıda maddesi
Su Miktarı: Sulu yapısı ile tokluk hissi etkisi
Besin Profili: Düşük şeker ve yüksek lif oranı ile diyet tariflerinin favorisi 
Uyarılar
Hassas bünyeye sahip olanların kontrollü tüketmesi tavsiye edilir.
Saklama Koşulları
Nem kaybını önlemek adına hava alacak şekilde serin ve karanlık ortamda muhafaza edilmelidir.
Kullanım Tavsiyesi 
Yıkandıktan sonra kabuğu ile birlikte bütün olarak veya dilimlenerek tüketilebilir. Kek ve tatlılarda da kullanıma uygundur. Aynı zamanda farklı salata çeşitlerinde de kullanabilirsiniz.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Meyve Sebze,https://www.a101.com.tr/kapida/meyve-sebze/granny-smith-elma-kg_p-20000809,14/10/2024 11:26,,,,"Nem kaybını önlemek adına hava alacak şekilde serin ve karanlık ortamda muhafaza edilmelidir.
Kullanım Tavsiyesi 
Yıkandıktan sonra kabuğu ile birlikte bütün olarak veya dilimlenerek tüketilebilir. Kek ve tatlılarda da kullanıma uygundur. Aynı zamanda farklı salata çeşitlerinde de kullanabilirsiniz.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",,,,
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/DB7g6AJshC_500x500.png,Golden Elma Kg,,,,20000807,"₺34,75",-,"Golden Elma Kg
Golden elma Türkiye'de sevilerek tüketilen elma çeşitlerinden biridir. Lif ve potasyum içeren elma, vitamin kaynağı meyvelerdendir. 
Saklama Koşulları
Elmaların uzun süre boyunca diri kalması için mutlaka serin ve kuru yerde muhafaza edilmesi gerekmektedir. Tüketilmeden hemen önce yıkanması tavsiye edilir.
Besin Değerleri
Golden Elma 100 gr içeriğinde;
Enerji (kcal) 52 
Karbonhidrat 19,3 g
Protein 0,36 g 
Yağ   0,2 4g
Alerjen Uyarısı
Lif ve potasyum içerir.
Kullanım Önerisi
Yıkandıktan sonra kabuklu veya kabuksuz olarak tüketilebilir. Kurabiye ve diğer hamur işlerinde çiğ ya da yarı pişirilmiş olarak kullanılabilir.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Meyve Sebze,https://www.a101.com.tr/kapida/meyve-sebze/golden-elma-kg_p-20000807,14/10/2024 11:26,,,,Elmaların uzun süre boyunca diri kalması için mutlaka serin ve kuru yerde muhafaza edilmesi gerekmektedir. Tüketilmeden hemen önce yıkanması tavsiye edilir.,,"Golden Elma 100 gr içeriğinde;
Enerji (kcal) 52 
Karbonhidrat 19,3 g
Protein 0,36 g 
Yağ   0,2 4g",Lif ve potasyum içerir.,"Yıkandıktan sonra kabuklu veya kabuksuz olarak tüketilebilir. Kurabiye ve diğer hamur işlerinde çiğ ya da yarı pişirilmiş olarak kullanılabilir.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz."
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/QIUnTrAgII_500x500.png,Kırmızı Erik Kg,,,,20001134,"₺49,50",-,"A101 Kapıda’da sunulan kırmızı erik, dış kısımda mor, iç kısmımda hafif pembemsi yapısıyla öne çıkar. Taze ve lezzetli tadı sayesinde sevilerek tüketilir.
Genel Özellikler
Yaz Meyvesi: Ağaçta yetişen ve yaz meyvesi olarak bilinen gıda maddesi 
Tat Profili: Kendine has mayhoş lezzet
Kolay Tüketim: Etli kısmı çekirdekten kolay ayrılan meyve 
Uyarılar
Demir, lif ve yüksek oranda A vitamini içerir.
Saklama Koşulları
Serin ve kuru alanda muhafaza edilmesi tavsiye edilir. 
Kullanım Tavsiyesi
Direkt olarak tüketime uygun olan bu ürün, meyve salatalarında en çok tercih edilen lezzetlerden biridir. Aynı zamanda reçel ve hoşaf şeklinde tüketilebilir.






Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Meyve Sebze,https://www.a101.com.tr/kapida/meyve-sebze/kirmizi-erik-kg_p-20001134,14/10/2024 11:26,,,,"Serin ve kuru alanda muhafaza edilmesi tavsiye edilir. 
Kullanım Tavsiyesi
Direkt olarak tüketime uygun olan bu ürün, meyve salatalarında en çok tercih edilen lezzetlerden biridir. Aynı zamanda reçel ve hoşaf şeklinde tüketilebilir.






Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",,,,
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/i3cCc3VNGs_500x500.png,Mini Bal Kabağı Adet,,,,20001294,"₺32,90",-,"A101 Kapıda’da sunulan mini balkabağı, çeşitli tariflerde lezzeti artırmak için rahatlıkla tercih edilebilir. Turuncu ve sarı renk seçenekleri bulunur. 
Genel Özellikler
Tazelik: Lezzeti ve aroması ile birlikte uzun süreli tazelik. 
Kullanım Alanı: Farklı tariflere uygunluğu ile çok amaçlı kullanım.
Kolay Tüketim: Rahat tüketim için aromatik tat.
Uyarılar
Hassas bünyelerde alerjik etkisi olabilir.
Saklama Koşulları
Buzdolabı koşullarında saklanabilir. Balkabağını küp şeklinde doğrayıp kilitli poşet içerisine koyarak dondurucuda muhafaza edebilirsiniz.
Kullanım Tavsiyesi
Çeşitli yemeklerde pişirilerek tüketilebilir. Tatlı yapımında tercih edilebilir. Tercihe göre kızartılabilir. Aynı zamanda çeşitli organizasyonlarda süs objesi olarak da kullanılabilir.






Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Meyve Sebze,https://www.a101.com.tr/kapida/meyve-sebze/mini-bal-kabagi-adet_p-20001294,14/10/2024 11:26,,,,"Buzdolabı koşullarında saklanabilir. Balkabağını küp şeklinde doğrayıp kilitli poşet içerisine koyarak dondurucuda muhafaza edebilirsiniz.
Kullanım Tavsiyesi
Çeşitli yemeklerde pişirilerek tüketilebilir. Tatlı yapımında tercih edilebilir. Tercihe göre kızartılabilir. Aynı zamanda çeşitli organizasyonlarda süs objesi olarak da kullanılabilir.






Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",,,,
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/G8n35nxTDx_500x500.png,Starking Elma Kg,,,,20000805,"₺34,90",-,"A101 Kapıda’da sunulan Starking Elma Kg, yumuşak kıvamlı yapısı ve ekşiliği olmayan tadı ile öne çıkar. Tatlı ve lezzetli olması sebebiyle kurabiye ve hamur işlerinde kullanılır.
Genel Özellikler
Kırmızı Meyve: Eylül ayının son haftasında olgunlaşarak toplanan kırmızı renkli gıda maddesi
Su Oranı: Hazmı kolaylaştıran sulu yapı
Besleyici: Düşük kalorili yüksek lifli yapısı sayesinde tokluk hissi etkisi
Uyarılar
Diyet lifi, karbonhidrat, organik asitler, protein, demir, potasyum, kalsiyum içerir.
Saklama Koşulları
Serin ve karanlık ortamda üzeri açık ve hava alacak şekilde muhafaza edilmelidir.
Kullanım Tavsiyesi 
Yıkandıktan sonra kabuğu ile birlikte bütün olarak veya dilimlenerek tüketilebilir. Kabuğu soyulan elmalar rendelenerek elma püresi elde edilebilir. Kek ve tatlılarda kullanıma uygun olan elmayı mevsim salatalarında da tercih edebilirsiniz.
Gramaj stoktaki ürüne göre değişebilecek olup, teslim edilen ürün gramajına göre tahsilat yapılmaktadır.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Meyve Sebze,https://www.a101.com.tr/kapida/meyve-sebze/starking-elma-kg_p-20000805,14/10/2024 11:27,,,,"Serin ve karanlık ortamda üzeri açık ve hava alacak şekilde muhafaza edilmelidir.
Kullanım Tavsiyesi 
Yıkandıktan sonra kabuğu ile birlikte bütün olarak veya dilimlenerek tüketilebilir. Kabuğu soyulan elmalar rendelenerek elma püresi elde edilebilir. Kek ve tatlılarda kullanıma uygun olan elmayı mevsim salatalarında da tercih edebilirsiniz.
Gramaj stoktaki ürüne göre değişebilecek olup, teslim edilen ürün gramajına göre tahsilat yapılmaktadır.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",,,,
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/oWPSvahZw0_500x500.png,Ananas Adet,,,,20000835,"₺69,00",-,"A101 Kapıda’da sunulan ananas, besleyici içeriği ile etkili bir tropikal meyvedir. Canlı sarı kabuğu, şekerli ve sulu etiyle yumuşak ve lezzetli bir tada sahiptir. 
Genel Özellikler
Yaz Meyvesi: Sıcak ve nemli ortamda yetiştirilen tropikal meyve.
Detoksa Uyum: Detokslarda kullanıma uygun yapı.
Rahat Tüketim: Kolay dilimlenen yapısıyla yüksek kolaylık.
Soyma Kolaylığı: Kısa sürede soyarak kullanıma uyum. 
Uyarılar
Ananas bromelain içerir.
Saklama Koşulları
Ananas olgunsa buzdolabında kapalı bir kapta muhafaza edilmesi önerilir. Olgun değilse oda sıcaklığında uzun süre bekletebilirsiniz. 
Kullanım Tavsiyesi
Kek, pasta, kurabiye yapımında ya da çiğ olarak tüketebilirsiniz. Reçellerde, milkshake, smoothie ve kokteyler gibi çok yönlü tariflerde kullanabilirsiniz. Dilimlenerek, suyu sıkılarak içilen ve pişirilerek tüketilen lezzetli bir meyvedir. Kızartılarak ve kurutulduktan sonra da tüketebilirsiniz.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Meyve Sebze,https://www.a101.com.tr/kapida/meyve-sebze/ananas-adet_p-20000835,14/10/2024 11:27,,,,"Ananas olgunsa buzdolabında kapalı bir kapta muhafaza edilmesi önerilir. Olgun değilse oda sıcaklığında uzun süre bekletebilirsiniz. 
Kullanım Tavsiyesi
Kek, pasta, kurabiye yapımında ya da çiğ olarak tüketebilirsiniz. Reçellerde, milkshake, smoothie ve kokteyler gibi çok yönlü tariflerde kullanabilirsiniz. Dilimlenerek, suyu sıkılarak içilen ve pişirilerek tüketilen lezzetli bir meyvedir. Kızartılarak ve kurutulduktan sonra da tüketebilirsiniz.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",,,,
