Resim,Ürün Adı,Ürün Kodu,Son Fiyat,Eski Fiyat,Açıklama,Kategori,Kaynak,Tarih
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/yYbznng-9y_500x500.png,Birşah Yarım Yağlı Süt 1 L,12000013,"₺28,00",-,"Birşah Yarım Yağlı Süt, içeriğinde yüksek besin değerleri bulundurur. Ultra yüksek sıcaklık tekniği ile üretilen ürün, kaynatılmadan tüketilebilir. Mutfakların vazgeçilmez ürünü olan Birşah Yarım Yağlı Süt, üstün lezzetiyle yapılan tariflere ayrı bir lezzet katar. Hem tatlı hem de tuzlu tarifler için kullanılabilir bir üründür. 
Saklama Koşulları 
Buzdolabında saklanması gerekir.
İçindekiler 
Yarım yağlı inek sütü, %1.5 yağlı UHT içme sütü
Besin Değerleri 
100 ml Birşah Yarım Yağlı Süt, 44 kaloridir. Diğer besin değerleri şu şekildedir : 
      100 ml için
100 ml için % RA*
1 porsiyon için (250 ml)
1 porsiyon için % RA*
Enerji (kj/kcal)
182/44
%2
455/110
%5
Yağ (gr)
1.5
%2
3.8
%5
Doymuş Yağ (gr)
1.1
%6
2.8
%15
Karbonhidrat (gr)
4.6
%2
12.0
%5
Şekerler (gr)
3.0
%3
8.0
%8
Protein (gr)
3.0
%6
8.0
%15
Tuz (gr)
0.2
%3
1.0
%6
Alerjen Uyarısı 
Süt ve laktoz içerir.
Kullanım Önerisi 
Yulaf, müsli, granola gibi ürünler ile beraber tüketilebilir. Kahve, salep, çikolata tozu gibi içeceklerin hazırlanmasında ve kek, poğaça gibi hamur işlerinin yapımında kullanılabilir. Beşamel sosun ana malzemesi olan süt ile lezzetli yemekler hazırlayabilirsiniz. Birşah Yarım Yağlı Süt,  soğuk veya ısıtılarak tüketilebilir.
  Bu üründen en fazla 12 adet sipariş verilebilir. Belirtilen adet üzerindeki siparişlerin iptal edilmesi hakkı saklıdır.
 
Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Süt Ürünleri ve Kahvaltılıklar,https://www.a101.com.tr/kapida/sut-urunleri-kahvaltilik/birsah-yarim-yagli-sut-1-l_p-12000013,11/10/2024 15:02
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/Vj0YTQaaJk_500x500.png,Birşah Yağlı Süt 1 L,12000001,"₺26,00","₺29,75","Hemen her tatlı ve bazı hamur işleri için kullanılan süt, mutfakların vazgeçilmez temel malzemelerindendir. Birşah Yağlı Süt, UHT ( Ultra Yüksek Sıcaklık ) tekniği ile üretilmiştir. Ürün %3.1 yağlı UHT içme sütü içerir ve homojenize edildiği için yağı üzerinde birikmez. 
Saklama Koşulları 
Ürünü direkt güneş ışığı almayan yerde muhafaza etmeniz önerilir. Birşah Yağlı Süt, ağzı açılmadan oda sıcaklığında saklanabilir. Ağzı açıldıktan sonra buzdolabında muhafaza edilmesi gerekir ve tercihen 2 gün içerisinde tüketilmelidir. 
  İçindekiler 
İnek sütü, %3.1 yağlı UHT içme sütü
Besin Değerleri 
100 ml için besin değerleri aşağıdaki tabloda gösterilmektedir: 
  100 ml için
100 ml için % RA*
1 porsiyon için (250 ml)
1 porsiyon için % RA*
Enerji (kj/kcal)
240/57
%3
600/143
%8
Yağ (gr)
3.1
%4
7.8
%10
 Doymuş Yağ (gr)
2.2
%11
5.5
%28
Karbonhidrat (gr)
4.3
%2
10.8
%5
Şekerler (gr)
3.7
%4
9.3
%10
Protein (gr)
3.1
%6
7.8
%15
Tuz (gr)
0.3
%5
0.8
%13
  Alerjen Uyarısı 
İnek sütü içerir.
Kullanım Önerisi 
Tatlı ve tuzlu tarifler başta olmak üzere kullanım alanı oldukça geniştir. Soğuk veya sıcak tüketilebilir. Başta kek olmak üzere pek çok tatlı yapımında kullanılır. Lezzetli yulaf lapası tarifleri için Birşah Yağlı Süt kullanılabilir.
    Bu üründen en fazla 12 adet sipariş verilebilir. Belirtilen adet üzerindeki siparişlerin iptal edilmesi hakkı saklıdır.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Süt Ürünleri ve Kahvaltılıklar,https://www.a101.com.tr/kapida/sut-urunleri-kahvaltilik/birsah-yagli-sut-1-l_p-12000001,11/10/2024 15:02
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/8hVJY6VdNZ_500x500.png,Birşah Tam Yağlı Süt 1 L,12000244,"₺32,50",-,"Birşah Tam Yağlı Süt içerisinde bulunan mineraller sayesinde uzun süre tüketime uygundur. Kullanım yelpazesinin oldukça geniş olması sebebiyle herkesin buzdolabında eksik olmayan bir üründür. Tatlısından yemeğine birçok ürünün yapımında kullanılır. Özellikle çocuklar için vazgeçilmezdir. Böyle olmasında tadının güzel olması etkilidir. Tadındaki lezzet dengelerinin tam olarak yakalanması aromasının en güzel şekilde ortaya çıkmasında yardımcı olur. 
  Saklama Koşulları 
  Buzdolabında saklanması tavsiye edilir. 
  İçindekiler 
  İnek sütü kullanılır. Ürün, minimum olarak %3,5 oranında süt yağı içerir.
  Besin Değerleri 
  Bu ürünün 100 ml’inde 59,5 kalori bulunur. Bir kutusu ise 1 litreden oluşur. 200 ml’i baz alınarak hesaplanan besin değerleri aşağıdaki tabloda gösterildiği gibidir. 
    Enerji
119 kcal
Şeker
8,8 g
Yağ
6,4 g
Protein
5,8 g
Doymuş Yağ
4,2 g
Sodyum
0,0 g
    Alerjen Uyarısı 
  İnek sütü içerir.
  Kullanım Önerisi 
  Pasta, kek, krema vb. yapımında kendisine kullanım alanı bulunur. Neredeyse tüm tatlıların ana malzemesi olarak görev alır. Tatlının yanı sıra yoğurt yapında da kullanıldığı için yoğurt severler tarafından vazgeçilmez bir ürün olarak yerini alır. 
  Bu üründen en fazla 12 adet sipariş verilebilir. Belirtilen adet üzerindeki siparişlerin iptal edilmesi hakkı saklıdır.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Süt Ürünleri ve Kahvaltılıklar,https://www.a101.com.tr/kapida/sut-urunleri-kahvaltilik/birsah-tam-yagli-sut-1-l_p-12000244,11/10/2024 15:02
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/zZWw7wPP8n_500x500.png,Birşah Yağsız Süt 1 L,12000319,"₺23,50",-,"Gelişimi destekleyen en önemli ürünlerden biri olan inek sütündeki fazla yağın alınmasının ardından paketlenerek satışa sunulan Birşah Yağsız Süt, hem çocuklar hem de yetişkinler tarafından tercih edilir. Sade olarak içilebildiği gibi kahvelerin üzerine de eklenen yağsız süt, tatlı yapımı için de sıklıkla kullanılır. Eşsiz lezzeti ve doğal içeriği ile buzdolabınızda bulunması gereken ürünler arasında yer almaktadır.
  Genel Özellikler
Ürün Türü: Süt
İçerik: Yağsız
Toplam Ağırlık: 1 lt
  Bu üründen en fazla 12 adet sipariş verilebilir. Belirtilen adet üzerindeki siparişlerin iptal edilmesi hakkı saklıdır.
 
Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Süt Ürünleri ve Kahvaltılıklar,https://www.a101.com.tr/kapida/sut-urunleri-kahvaltilik/birsah-yagsiz-sut-1-l_p-12000319,11/10/2024 15:02
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/uCWBaa0ASw_500x500.png,Birşah Laktozsuz Süt 1 L,12000274,"₺30,00","₺34,50","Birşah laktozsuz süt,  1 litrelik ambalajında sunulur. UHT ( Ultra Yüksek Sıcaklık) tekniği ile üretilir. Homojen edildiği için yağı üzerinde birikmez. Genellikle sabah kahvaltıda gece uykusundan önce içilmesi tercih edilse de gün içinde her öğün içilmesi uygundur. Zengin besin değerleri sayesinde çocukların tüketimi önerilir. Gün içinde gereken besin değerlerinin alınmasına katkı sağlar.

  Saklama Koşulları
  Buzdolabında muhafaza edilmesi ve 2 gün içinde tüketilmesi uygundur. Son tüketim tarihi geçmeden kullanılması gerekir.

  İçindekiler 
İnek sütü ve laktaz enzimi bulunur.

  Besin Değerleri 
Ürünün 100 g / ml için besin değerleri aşağıdaki tabloda gösterilmiştir:
  Besin Değer
100 g / ml
Enerji (kcal)
172/41
Yağ (g)
1.0
Doymuş Yağ (g)
0.7
Karbonhidrat (g)
4.8
Tuz (g)
0.1
Şeker (g)
4.8
Protein (g)
3.0
    Alerjen Uyarısı 
Laktoz içerir.
  Kullanım Önerisi 
Sütü kaynatmaya gerek yoktur. Ürünün soğuk veya sıcak şekilde tüketilmesi uygundur. İster tatlı ve pastalarda ister yemeklerde ve soslarda kullanabileceğiniz Birşah süt, sindiriminin kolay olması ile vazgeçilmez olur. 
    Bu üründen en fazla 12 adet sipariş verilebilir. Belirtilen adet üzerindeki siparişlerin iptal edilmesi hakkı saklıdır.
 
Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Süt Ürünleri ve Kahvaltılıklar,https://www.a101.com.tr/kapida/sut-urunleri-kahvaltilik/birsah-laktozsuz-sut-1-l_p-12000274,11/10/2024 15:02
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/8ND9CjVBQR_500x500.png,Birşah Pastörize Yağlı Süt 1 L,12002116,"₺30,00",-,"Birşah Pastörize Yağlı Süt 1 Lt
  Süt, besin değeri yüksek olan bir üründür. Süt ve süt ürünleri, gelişim çağında olan çocuklar ve yetişkinler için sunduğu yüksek oranda besin değerleri açısından tercih sebebi olmakta. Türk Gıda Kodeksine uygun olarak üretilen Birşah Pastörize Doğal Yağlı Süt 1lt halinde paketlenmiştir. İçerisinde barındırdığı B, C vitaminleri, riboflavin ve protein açısından zengin olan Birşah Pastörize Yağlı Süt direkt olarak içilebilir ve çeşitli tariflerde kullanıma uyum sağlar.
  Saklama Koşulları
  Buzdolabında muhafaza edilirken orijinal ambalajında ve kapağı kapalı bir şekilde saklanması tavsiye edilir.
    İçindekiler
  Pastörize İnek Sütü
  Besin Değerleri
  100 ml Birşah Yağlı Sütte 62 kalori bulunur. 100 mililitre besin değerleri şu şekildedir.
    Enerji (kcal)
62
Karbonhidrat (g)
5.42
Protein (g)
3.33
Yağ
3.33
Kolesterol (mg)
15
Sodyum (mg)
52
Kalsiyum (mg)
125
Vitamin A (iu)
125
  Alerjen Uyarısı
  Süt ve süt ürünleri içermektedir. 
    Kullanım Önerisi
  Direkt olarak soğuk ve ısıtılmış bir şekilde içilebilir. Sütlü kahve pişirebilir ya da sütünüze bal ekleyebilirsiniz. Birşah Pastörize Yağlı Süt ile çeşitli hamur işi ve içecek karışımları hazırlayabilirsiniz. Ayrıca bulunduğunuz yaş grubuna göre günlük almanız gereken porsiyon miktarı vardır. Size en uygun tüketim miktarını (porsiyon) belirleyerek tüketmenizde doğru bir yaklaşım olacaktır.


 

 


Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Süt Ürünleri ve Kahvaltılıklar,https://www.a101.com.tr/kapida/sut-urunleri-kahvaltilik/birsah-pastorize-yagli-sut-1-l_p-12002116,11/10/2024 15:03
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/gwrTtmJh3v_500x500.png,Pınar Çocuk Sütü 200 Ml,12001506,"₺16,00",-,"Pınar Çocuk Sütü 200 Ml
Pınar Çocuk Sütü 200 ml ürünü, çocukların ihtiyaç duyulan günlük vitamin ve mineral gereksinimlerini karşılar. Çocuklar için oldukça faydalı ve lezzetli bir ürünüdür. Çocuk gelişimi için oldukça önem taşır.
Saklama Koşulları
Serin ve kuru ortamda muhafaza edilmelidir. Paket açıldıktan sonra kısa süre içerisinde tüketilmelidir.
İçindekiler
C ve K vitaminleri, eser miktarda; niacin, probiyotik lif, maltodekstrin, timin, folat.
Besin Değerleri
100 gram için besin değerleri şu şekildedir;
Enerji (kcal) 67.24
Yağ (gr) 3.0
Protein (gr) 2.26
Karbonhidrat (gr) 7.8
A Vitamini (IU) 60
C Vitamini (mg) 14
Potasyum (mg) 105
Kalsiyum (mg) 94
Demir (mg) 1.05
Lif 0.55
Alerjen Uyarısı
Süt ve süt ürünleri içerir. 
Kullanım Önerisi
Çocuklar tarafından günde iki bardak tüketilmesi önerilir. Kullanıcıların tercihine göre; sıcak, ılık veya soğuk bir şekilde tüketilmesi mümkündür.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Süt Ürünleri ve Kahvaltılıklar,https://www.a101.com.tr/kapida/sut-urunleri-kahvaltilik/pinar-cocuk-sutu-200-ml_p-12001506,11/10/2024 15:03
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/16ZQkQZkzh_500x500.png,Pınar Yağlı Süt 1 L,12000357,"₺45,00",-,"Pınar Yağlı Süt 1 Lt
Pınar yağlı süt hiçbir katkı maddesi içermeden UHT teknolojisi ile hazırlanarak satışa sunulur. Bu sayede sütün bozulmasına neden olabilecek mikroorganizmalardan arındırılarak paketlenir. UHT teknolojisi sayesinde Pınar yağlı süt uzun ömürlüdür. 1 lt’lik paketlerde tüketime sunulan Pınar yağlı süt A101 aracılığı ile müşterilerine ulaştırılır.
İçindekiler
İnek sütü, minimum %3,2 süt yağı içerir.
Besin Değerleri
Her yaştan tüketicinin severek tercih ettiği Pınar tam yağlı sütün 100 gramında 62 kalori bulunur. Günün her saati lezzetle içilen tam yağlı sütün 100 gramında yer alan besin değerleri aşağıdaki tabloda gösterilir.
Enerji (kcal)
62
Yağ (g)
3,33
Karbonhidrat (g)
5,42
Diyet Lif (g)
0
Protein (g)
3,33
Sodyum (mg)
52
Kolesterol (mg)
15
Potasyum (mg)
0
C Vitamini (g)
0,5
Demir (mg)
0
A Vitamini (iu)
125
Kalsiyum (mg)
125
Kullanım Önerisi
Isıtılmasına gerek duyulmadan doğrudan içilebilen Pınar tam yağlı sütü kahvaltı ve diğer öğünlerde sofranızda bulundurabilirsiniz. Sütlü tatlılarda tercih edebilirsiniz. Lezzetli sütlaç yapabilirsiniz. Tatlıların yanı sıra beşamel soslu tavuk tercihinizde beşamel sosunu Pınar süt ile hazırlayabilirsiniz.
Uyarılar
Süt intoleransı olan kişilerin dikkatli tüketmesi tavsiye edilir. Pastörize edilmiş süt genellikte alerjiye sebep olmamakla birlikte bazen inek sütü alerjisi olan kişilerde önemli tepkimelere yol açabilir. Alerjik reaksiyonlara yatkın kişilerin tüketim öncesi uzman görüşü olması tavsiye edilir.
Saklama Koşulları
Uzun ömürlü olan süt açılmadığı takdirde buzdolabında son tüketim tarihine kadar muhafaza edilebilir. Paket açıldıktan sonra 2 gün içinde tüketilmesi tavsiye edilir. Süt ürünlerinin buzdolabının buzluk bölümünde saklanması tavsiye edilmez. Uzun ömürlü sütler oda sıcaklığında uzun süre bekletilmesi tavsiye edilmez.

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Süt Ürünleri ve Kahvaltılıklar,https://www.a101.com.tr/kapida/sut-urunleri-kahvaltilik/pinar-yagli-sut-1-l_p-12000357,11/10/2024 15:03
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/sBDss3lTmj_500x500.png,Sütaş Tam Yağlı Süt 1 L,12002747,"₺44,50",-,"Sütaş Tam Yağlı Süt 1 Lt
Sütaş Tam yağlı Süt çeşitleri sade olarak tüketilebildiği gibi farklı gıda ürünleri ile beraber de kullanılabilir. Tatlılarda ve içeceklerde süt ile lezzetlendirme işlemi yapılırken sütün yağlı oluşu aromatik olarak ekstra tat katar. Bu ürünleri hem çocuklar hem de yetişkinler afiyetle tüketebilir.
Saklama Koşulları
Açıldıktan sonra buzdolabında 4°C’de saklanmalıdır. 
İçindekiler
Homojenize, pastörize inek sütü, en az %3,5 süt yağı. 
Besin Değerleri
100 gram için besin değerleri şu şekildedir;
Enerji (kcal) 57
Yağ (gr) 3
Protein (gr) 3
Karbonhidrat (gr) 4.5
A Vitamini (IU) 0
C Vitamini (mg) 0
Potasyum (mg) 0
Kalsiyum (mg) 120
Demir (mg) 0
Lif 0
Alerjen Uyarısı
Laktoz içerir.
Kullanım Önerisi
Cezvede ısıtılarak ya da soğuk bir şekilde tüketilebilir. 

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Süt Ürünleri ve Kahvaltılıklar,https://www.a101.com.tr/kapida/sut-urunleri-kahvaltilik/sutas-tam-yagli-sut-1-l_p-12002747,11/10/2024 15:03
https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/dfKtLSvHbG_500x500.png,"Sütaş %2,5 Yağlı Süt 1 L",12002766,"₺38,50",-,"Sütaş Süt %2,5 Yağlı 1 Lt
Mutfaklardan eksik edilmeyen Sütaş Süt ürünlerinin farklı yağ oranlarına sahip çeşitleri dikkat çeker. Sütaş Süt % 2,5 Yağlı 1 lt ürünü, keyifli bir içim şekline sahiptir. Sade olarak tüketilebildiği gibi tatlılarda veya kahve gibi içeceklerde de kullanılır. Tamamen inek sütünden elde edilen Sütaş Süt çeşitleri ile çocuklarınızın kemik gelişimlerini destekleyebilirsiniz.
Saklama Koşulları
Serin, kuru ve güneş ışığından uzak bir yerde muhafaza edilmelidir. 
İçindekiler
Homojenize ve pastörize inek sütü, %2,5 süt yağı.
Besin Değerleri
100 gram için besin değerleri şu şekildedir;
Enerji (kcal)
221
Yağ (gr)
2.5
Protein (gr)
3
Karbonhidrat (gr)
4.6
A Vitamini (IU)
0.5
C Vitamini (mg)
0
Potasyum (mg)
1
Kalsiyum (mg)
120
Demir (mg)
0
Lif
0
Alerjen Uyarısı
Laktoz içerir. 
Kullanım Önerisi
Sütaş Süt, bir cezvede ısıtılarak ya da soğuk bir şekilde tüketilebilir. 

Teslimat adresinize göre ürünün stok durumu değişebilir. Teslimat adresinizi ekledikten sonra ürün stok durumunu görüntüleyebilirsiniz.",Süt Ürünleri ve Kahvaltılıklar,https://www.a101.com.tr/kapida/sut-urunleri-kahvaltilik/sutas-25-yagli-sut-1-l_p-12002766,11/10/2024 15:03
