Resim,Ürün Adı,Son Fiyat,Eski Fiyat,Açıklama,Kategori,Kaynak,Tarih
https://www.migros.com.tr/assets/icons/fast-cart-icon.svg,"Queen Kalanchoe Q10,5","69,95 TL",-,"Queen Kalanchoe, zarif yaprakları, zengin çiçekleri ve duruşu ile kendine has bir şıklığa sahip olup mekanları süsler. Oda sıcaklığını seven ve bakımı oldukça kolay olan Kalanchoe'ye, kış aylarında haftada bir kez, yaz aylarında ise haftada iki kez sulama yapılması önerilir.

Queen Kalanchoe, güle benzeyen zarif ve zengin çiçeklenme yapısı ile kendine has bir şıklığa sahiptir. Görkemli renk tonları ve uzun ömrü ile Kalanchoe’nin bakımı oldukça kolaydır. 5-35°C arasında hayatta kalabilen Kalanchoe yüksek kalitesi ile bilinir. Sulama işleminin, kış aylarında haftada 1 defa, yaz aylarında haftada 2 defa yapılması önerilir. Bu şartlar altında 3 hafta süresince çiçeklenme garantilidir.",Cicek,https://www.migros.com.tr/queen-kalanchoe-q105-p-1b90952,2024-10-30 12:21:53
https://www.migros.com.tr/assets/icons/fast-cart-icon.svg,"Queen Kalanchoe Q10,5","69,95 TL",-,"Queen Kalanchoe, zarif yaprakları, zengin çiçekleri ve duruşu ile kendine has bir şıklığa sahip olup mekanları süsler. Oda sıcaklığını seven ve bakımı oldukça kolay olan Kalanchoe'ye, kış aylarında haftada bir kez, yaz aylarında ise haftada iki kez sulama yapılması önerilir.

Queen Kalanchoe, güle benzeyen zarif ve zengin çiçeklenme yapısı ile kendine has bir şıklığa sahiptir. Görkemli renk tonları ve uzun ömrü ile Kalanchoe’nin bakımı oldukça kolaydır. 5-35°C arasında hayatta kalabilen Kalanchoe yüksek kalitesi ile bilinir. Sulama işleminin, kış aylarında haftada 1 defa, yaz aylarında haftada 2 defa yapılması önerilir. Bu şartlar altında 3 hafta süresince çiçeklenme garantilidir.",Cicek,https://www.migros.com.tr/queen-kalanchoe-q105-p-1b90952,2024-10-30 12:21:56
https://www.migros.com.tr/assets/icons/fast-cart-icon.svg,Queen Rhıpsalıs Q19,"249,95 TL",-,"İade Sürecini Nasıl Başlatabilirim?
Migros uygulamasından aldığınız ürünler için 14 gün gün içinde cayma hakkınızı kullanabilirsiniz. Bunun dışında, 30 gün içinde ilettiğiniz iade talepleri için müşteri memnuniyeti politikalarımız kapsamında iade talepleriniz değerlendirilecektir. İade sürecini 0850 200 40 00 telefon numarası üzerinden başlatabilirsiniz.
İade Koşulları:
Her türlü iadeler mutlak suretle orjinal kutu ve ürünün ambalajı (koruma bandı) bozulmaksızın yapılmalıdır.
Ürün fatura aslınının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Elektronik ürünler ve cep telefonları yetkili servis garantisinde bulunmaktadır. Üründe yaşanan sorun ya da ayıplı mal yetkili servis tarafından belgelendikten sonra tarafımızca tüm aksesuarları ile birlikte iade olarak kabul edilmektedir. Cep telefonları ürünlerinde kutu içerisindeki garanti belgesinin kaşelenmesi için ürünün kutusu açılmakta ve orjinal ambalajı açık şekilde teslim edilmektedir.
Kurulum gerektiren elektronik ürünler yetkili servis çalışanları tarafından açıldıktan sonra, herhangi bir hasar/kusur/ayıp tespit edilmesi halinde tespit tutanağı doldurtulması gerekir. Tespit tutanağı olmayan veya yetkili servis kontrolü dışında açılmış olan ürünler için iade/değişim işlemi gerçekleştirilemez.
Kargo belgesi ile teslim edilen ürünler kargo görevlisi huzurunda açılmalıdır. Ürünün dış ambalajında hiç bir hasar, açıklık, darbe, ıslaklık vb. olmaması, buna rağmen ürünün hasarlı çıkması durumunda, mevcut durum bir tutanakla karşılıklı olarak imza altına alınmalıdır. Kargo görevlisi tutanağın 1 nüshasını müşteriye vermekle yükümlüdür. Ürün hasar tespit tutanağının ve fatura aslının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Cayma Hakkının Geçerli Olmadığı Durumlar
Fiyatı finansal piyasalardaki dalgalanmalara bağlı olarak değişen ve satıcının kontrolünde olmayan ürün veya hizmetler iade/değişim kapsamında değerlendirilmemektedir.
Kişisel istekler doğrultusunda size özel olarak üretilen veya üzerinde değişiklik yapılan ürünler iade/değişim kapsamında degerlendirilmemektedir.
Çabuk bozulabilen veya son kullanma tarihi geçebilecek ürünler iade/değişim kapsamında değerlendirilmemektedir.
Sağlık veya hijyen açısından iadesi uygun olmayıp, tesliminden sonra ambalaj, bant, mühür, paket gibi koruyucu unsurları açılmış olan ürünler iade/değişim kapsamında değerlendirilmemektedir. (İç giyim, mayo, bikini, kişisel bakım, kozmetik ürünleri vb.)
Tesliminden sonra başka ürünlerle karışan ve doğası gereği ayrıştırılması mümkün olmayan ürünler iade/değişim kapsamında değerlendirilmemektedir.
Ürünün tesliminden sonra ambalajın açılmış olması halinde maddi ortamda sunulan kitap, dijital içerik ve bilgisayar sarf malzemeleri iade/değişim kapsamında değerlendirilmemektedir.
Abonelik sözleşmesi kapsamında sağlananlar dışında, gazete, dergi gibi süreli yayınlar iade/değişim kapsamında değerlendirilmemektedir.
Belirli bir tarihte veya dönemde yapılması gereken, konaklama, eşya taşıma, araba kiralama, yiyecek- içecek tedariki ve boş zamanın değerlendirilmesine ilişkin ürünler iade/değişim kapsamında değerlendirilmemektedir.
Elektronik ortamda anında ifa edilen hizmetler veya anında teslim edilen gayrimaddi ürünler iade/değişim kapsamında değerlendirilmemektedir.
Yiyecek ve içecek gibi günlük tüketim maddelerinin, satıcının düzenli teslimatları çerçevesinde tüketicinin meskenine veya işyerine gönderilmesi iade/değişim kapsamında değerlendirilmemektedir.",Cicek,https://www.migros.com.tr/queen-rhipsalis-q19-p-1b9130b,2024-10-30 12:21:58
https://www.migros.com.tr/assets/icons/fast-cart-icon.svg,Queen Rhıpsalıs Q19,"249,95 TL",-,"İade Sürecini Nasıl Başlatabilirim?
Migros uygulamasından aldığınız ürünler için 14 gün gün içinde cayma hakkınızı kullanabilirsiniz. Bunun dışında, 30 gün içinde ilettiğiniz iade talepleri için müşteri memnuniyeti politikalarımız kapsamında iade talepleriniz değerlendirilecektir. İade sürecini 0850 200 40 00 telefon numarası üzerinden başlatabilirsiniz.
İade Koşulları:
Her türlü iadeler mutlak suretle orjinal kutu ve ürünün ambalajı (koruma bandı) bozulmaksızın yapılmalıdır.
Ürün fatura aslınının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Elektronik ürünler ve cep telefonları yetkili servis garantisinde bulunmaktadır. Üründe yaşanan sorun ya da ayıplı mal yetkili servis tarafından belgelendikten sonra tarafımızca tüm aksesuarları ile birlikte iade olarak kabul edilmektedir. Cep telefonları ürünlerinde kutu içerisindeki garanti belgesinin kaşelenmesi için ürünün kutusu açılmakta ve orjinal ambalajı açık şekilde teslim edilmektedir.
Kurulum gerektiren elektronik ürünler yetkili servis çalışanları tarafından açıldıktan sonra, herhangi bir hasar/kusur/ayıp tespit edilmesi halinde tespit tutanağı doldurtulması gerekir. Tespit tutanağı olmayan veya yetkili servis kontrolü dışında açılmış olan ürünler için iade/değişim işlemi gerçekleştirilemez.
Kargo belgesi ile teslim edilen ürünler kargo görevlisi huzurunda açılmalıdır. Ürünün dış ambalajında hiç bir hasar, açıklık, darbe, ıslaklık vb. olmaması, buna rağmen ürünün hasarlı çıkması durumunda, mevcut durum bir tutanakla karşılıklı olarak imza altına alınmalıdır. Kargo görevlisi tutanağın 1 nüshasını müşteriye vermekle yükümlüdür. Ürün hasar tespit tutanağının ve fatura aslının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Cayma Hakkının Geçerli Olmadığı Durumlar
Fiyatı finansal piyasalardaki dalgalanmalara bağlı olarak değişen ve satıcının kontrolünde olmayan ürün veya hizmetler iade/değişim kapsamında değerlendirilmemektedir.
Kişisel istekler doğrultusunda size özel olarak üretilen veya üzerinde değişiklik yapılan ürünler iade/değişim kapsamında degerlendirilmemektedir.
Çabuk bozulabilen veya son kullanma tarihi geçebilecek ürünler iade/değişim kapsamında değerlendirilmemektedir.
Sağlık veya hijyen açısından iadesi uygun olmayıp, tesliminden sonra ambalaj, bant, mühür, paket gibi koruyucu unsurları açılmış olan ürünler iade/değişim kapsamında değerlendirilmemektedir. (İç giyim, mayo, bikini, kişisel bakım, kozmetik ürünleri vb.)
Tesliminden sonra başka ürünlerle karışan ve doğası gereği ayrıştırılması mümkün olmayan ürünler iade/değişim kapsamında değerlendirilmemektedir.
Ürünün tesliminden sonra ambalajın açılmış olması halinde maddi ortamda sunulan kitap, dijital içerik ve bilgisayar sarf malzemeleri iade/değişim kapsamında değerlendirilmemektedir.
Abonelik sözleşmesi kapsamında sağlananlar dışında, gazete, dergi gibi süreli yayınlar iade/değişim kapsamında değerlendirilmemektedir.
Belirli bir tarihte veya dönemde yapılması gereken, konaklama, eşya taşıma, araba kiralama, yiyecek- içecek tedariki ve boş zamanın değerlendirilmesine ilişkin ürünler iade/değişim kapsamında değerlendirilmemektedir.
Elektronik ortamda anında ifa edilen hizmetler veya anında teslim edilen gayrimaddi ürünler iade/değişim kapsamında değerlendirilmemektedir.
Yiyecek ve içecek gibi günlük tüketim maddelerinin, satıcının düzenli teslimatları çerçevesinde tüketicinin meskenine veya işyerine gönderilmesi iade/değişim kapsamında değerlendirilmemektedir.",Cicek,https://www.migros.com.tr/queen-rhipsalis-q19-p-1b9130b,2024-10-30 12:22:00
https://www.migros.com.tr/assets/icons/fast-cart-icon.svg,Queen Creatıons - 1 Pack Beton Saksılı Succulent,"59,95 TL",-,"İade Sürecini Nasıl Başlatabilirim?
Migros uygulamasından aldığınız ürünler için 14 gün gün içinde cayma hakkınızı kullanabilirsiniz. Bunun dışında, 30 gün içinde ilettiğiniz iade talepleri için müşteri memnuniyeti politikalarımız kapsamında iade talepleriniz değerlendirilecektir. İade sürecini 0850 200 40 00 telefon numarası üzerinden başlatabilirsiniz.
İade Koşulları:
Her türlü iadeler mutlak suretle orjinal kutu ve ürünün ambalajı (koruma bandı) bozulmaksızın yapılmalıdır.
Ürün fatura aslınının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Elektronik ürünler ve cep telefonları yetkili servis garantisinde bulunmaktadır. Üründe yaşanan sorun ya da ayıplı mal yetkili servis tarafından belgelendikten sonra tarafımızca tüm aksesuarları ile birlikte iade olarak kabul edilmektedir. Cep telefonları ürünlerinde kutu içerisindeki garanti belgesinin kaşelenmesi için ürünün kutusu açılmakta ve orjinal ambalajı açık şekilde teslim edilmektedir.
Kurulum gerektiren elektronik ürünler yetkili servis çalışanları tarafından açıldıktan sonra, herhangi bir hasar/kusur/ayıp tespit edilmesi halinde tespit tutanağı doldurtulması gerekir. Tespit tutanağı olmayan veya yetkili servis kontrolü dışında açılmış olan ürünler için iade/değişim işlemi gerçekleştirilemez.
Kargo belgesi ile teslim edilen ürünler kargo görevlisi huzurunda açılmalıdır. Ürünün dış ambalajında hiç bir hasar, açıklık, darbe, ıslaklık vb. olmaması, buna rağmen ürünün hasarlı çıkması durumunda, mevcut durum bir tutanakla karşılıklı olarak imza altına alınmalıdır. Kargo görevlisi tutanağın 1 nüshasını müşteriye vermekle yükümlüdür. Ürün hasar tespit tutanağının ve fatura aslının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Cayma Hakkının Geçerli Olmadığı Durumlar
Fiyatı finansal piyasalardaki dalgalanmalara bağlı olarak değişen ve satıcının kontrolünde olmayan ürün veya hizmetler iade/değişim kapsamında değerlendirilmemektedir.
Kişisel istekler doğrultusunda size özel olarak üretilen veya üzerinde değişiklik yapılan ürünler iade/değişim kapsamında degerlendirilmemektedir.
Çabuk bozulabilen veya son kullanma tarihi geçebilecek ürünler iade/değişim kapsamında değerlendirilmemektedir.
Sağlık veya hijyen açısından iadesi uygun olmayıp, tesliminden sonra ambalaj, bant, mühür, paket gibi koruyucu unsurları açılmış olan ürünler iade/değişim kapsamında değerlendirilmemektedir. (İç giyim, mayo, bikini, kişisel bakım, kozmetik ürünleri vb.)
Tesliminden sonra başka ürünlerle karışan ve doğası gereği ayrıştırılması mümkün olmayan ürünler iade/değişim kapsamında değerlendirilmemektedir.
Ürünün tesliminden sonra ambalajın açılmış olması halinde maddi ortamda sunulan kitap, dijital içerik ve bilgisayar sarf malzemeleri iade/değişim kapsamında değerlendirilmemektedir.
Abonelik sözleşmesi kapsamında sağlananlar dışında, gazete, dergi gibi süreli yayınlar iade/değişim kapsamında değerlendirilmemektedir.
Belirli bir tarihte veya dönemde yapılması gereken, konaklama, eşya taşıma, araba kiralama, yiyecek- içecek tedariki ve boş zamanın değerlendirilmesine ilişkin ürünler iade/değişim kapsamında değerlendirilmemektedir.
Elektronik ortamda anında ifa edilen hizmetler veya anında teslim edilen gayrimaddi ürünler iade/değişim kapsamında değerlendirilmemektedir.
Yiyecek ve içecek gibi günlük tüketim maddelerinin, satıcının düzenli teslimatları çerçevesinde tüketicinin meskenine veya işyerine gönderilmesi iade/değişim kapsamında değerlendirilmemektedir.",Cicek,https://www.migros.com.tr/queen-creations-1-pack-beton-saksili-succulent-p-1b91237,2024-10-30 12:22:03
https://www.migros.com.tr/assets/icons/fast-cart-icon.svg,Queen Creatıons - 1 Pack Beton Saksılı Succulent,"59,95 TL",-,"İade Sürecini Nasıl Başlatabilirim?
Migros uygulamasından aldığınız ürünler için 14 gün gün içinde cayma hakkınızı kullanabilirsiniz. Bunun dışında, 30 gün içinde ilettiğiniz iade talepleri için müşteri memnuniyeti politikalarımız kapsamında iade talepleriniz değerlendirilecektir. İade sürecini 0850 200 40 00 telefon numarası üzerinden başlatabilirsiniz.
İade Koşulları:
Her türlü iadeler mutlak suretle orjinal kutu ve ürünün ambalajı (koruma bandı) bozulmaksızın yapılmalıdır.
Ürün fatura aslınının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Elektronik ürünler ve cep telefonları yetkili servis garantisinde bulunmaktadır. Üründe yaşanan sorun ya da ayıplı mal yetkili servis tarafından belgelendikten sonra tarafımızca tüm aksesuarları ile birlikte iade olarak kabul edilmektedir. Cep telefonları ürünlerinde kutu içerisindeki garanti belgesinin kaşelenmesi için ürünün kutusu açılmakta ve orjinal ambalajı açık şekilde teslim edilmektedir.
Kurulum gerektiren elektronik ürünler yetkili servis çalışanları tarafından açıldıktan sonra, herhangi bir hasar/kusur/ayıp tespit edilmesi halinde tespit tutanağı doldurtulması gerekir. Tespit tutanağı olmayan veya yetkili servis kontrolü dışında açılmış olan ürünler için iade/değişim işlemi gerçekleştirilemez.
Kargo belgesi ile teslim edilen ürünler kargo görevlisi huzurunda açılmalıdır. Ürünün dış ambalajında hiç bir hasar, açıklık, darbe, ıslaklık vb. olmaması, buna rağmen ürünün hasarlı çıkması durumunda, mevcut durum bir tutanakla karşılıklı olarak imza altına alınmalıdır. Kargo görevlisi tutanağın 1 nüshasını müşteriye vermekle yükümlüdür. Ürün hasar tespit tutanağının ve fatura aslının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Cayma Hakkının Geçerli Olmadığı Durumlar
Fiyatı finansal piyasalardaki dalgalanmalara bağlı olarak değişen ve satıcının kontrolünde olmayan ürün veya hizmetler iade/değişim kapsamında değerlendirilmemektedir.
Kişisel istekler doğrultusunda size özel olarak üretilen veya üzerinde değişiklik yapılan ürünler iade/değişim kapsamında degerlendirilmemektedir.
Çabuk bozulabilen veya son kullanma tarihi geçebilecek ürünler iade/değişim kapsamında değerlendirilmemektedir.
Sağlık veya hijyen açısından iadesi uygun olmayıp, tesliminden sonra ambalaj, bant, mühür, paket gibi koruyucu unsurları açılmış olan ürünler iade/değişim kapsamında değerlendirilmemektedir. (İç giyim, mayo, bikini, kişisel bakım, kozmetik ürünleri vb.)
Tesliminden sonra başka ürünlerle karışan ve doğası gereği ayrıştırılması mümkün olmayan ürünler iade/değişim kapsamında değerlendirilmemektedir.
Ürünün tesliminden sonra ambalajın açılmış olması halinde maddi ortamda sunulan kitap, dijital içerik ve bilgisayar sarf malzemeleri iade/değişim kapsamında değerlendirilmemektedir.
Abonelik sözleşmesi kapsamında sağlananlar dışında, gazete, dergi gibi süreli yayınlar iade/değişim kapsamında değerlendirilmemektedir.
Belirli bir tarihte veya dönemde yapılması gereken, konaklama, eşya taşıma, araba kiralama, yiyecek- içecek tedariki ve boş zamanın değerlendirilmesine ilişkin ürünler iade/değişim kapsamında değerlendirilmemektedir.
Elektronik ortamda anında ifa edilen hizmetler veya anında teslim edilen gayrimaddi ürünler iade/değişim kapsamında değerlendirilmemektedir.
Yiyecek ve içecek gibi günlük tüketim maddelerinin, satıcının düzenli teslimatları çerçevesinde tüketicinin meskenine veya işyerine gönderilmesi iade/değişim kapsamında değerlendirilmemektedir.",Cicek,https://www.migros.com.tr/queen-creations-1-pack-beton-saksili-succulent-p-1b91237,2024-10-30 12:22:05
https://www.migros.com.tr/assets/icons/fast-cart-icon.svg,Queen Creations - Mystery Schlumbergera,"199,95 TL",-,"İade Sürecini Nasıl Başlatabilirim?
Migros uygulamasından aldığınız ürünler için 14 gün gün içinde cayma hakkınızı kullanabilirsiniz. Bunun dışında, 30 gün içinde ilettiğiniz iade talepleri için müşteri memnuniyeti politikalarımız kapsamında iade talepleriniz değerlendirilecektir. İade sürecini 0850 200 40 00 telefon numarası üzerinden başlatabilirsiniz.
İade Koşulları:
Her türlü iadeler mutlak suretle orjinal kutu ve ürünün ambalajı (koruma bandı) bozulmaksızın yapılmalıdır.
Ürün fatura aslınının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Elektronik ürünler ve cep telefonları yetkili servis garantisinde bulunmaktadır. Üründe yaşanan sorun ya da ayıplı mal yetkili servis tarafından belgelendikten sonra tarafımızca tüm aksesuarları ile birlikte iade olarak kabul edilmektedir. Cep telefonları ürünlerinde kutu içerisindeki garanti belgesinin kaşelenmesi için ürünün kutusu açılmakta ve orjinal ambalajı açık şekilde teslim edilmektedir.
Kurulum gerektiren elektronik ürünler yetkili servis çalışanları tarafından açıldıktan sonra, herhangi bir hasar/kusur/ayıp tespit edilmesi halinde tespit tutanağı doldurtulması gerekir. Tespit tutanağı olmayan veya yetkili servis kontrolü dışında açılmış olan ürünler için iade/değişim işlemi gerçekleştirilemez.
Kargo belgesi ile teslim edilen ürünler kargo görevlisi huzurunda açılmalıdır. Ürünün dış ambalajında hiç bir hasar, açıklık, darbe, ıslaklık vb. olmaması, buna rağmen ürünün hasarlı çıkması durumunda, mevcut durum bir tutanakla karşılıklı olarak imza altına alınmalıdır. Kargo görevlisi tutanağın 1 nüshasını müşteriye vermekle yükümlüdür. Ürün hasar tespit tutanağının ve fatura aslının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Cayma Hakkının Geçerli Olmadığı Durumlar
Fiyatı finansal piyasalardaki dalgalanmalara bağlı olarak değişen ve satıcının kontrolünde olmayan ürün veya hizmetler iade/değişim kapsamında değerlendirilmemektedir.
Kişisel istekler doğrultusunda size özel olarak üretilen veya üzerinde değişiklik yapılan ürünler iade/değişim kapsamında degerlendirilmemektedir.
Çabuk bozulabilen veya son kullanma tarihi geçebilecek ürünler iade/değişim kapsamında değerlendirilmemektedir.
Sağlık veya hijyen açısından iadesi uygun olmayıp, tesliminden sonra ambalaj, bant, mühür, paket gibi koruyucu unsurları açılmış olan ürünler iade/değişim kapsamında değerlendirilmemektedir. (İç giyim, mayo, bikini, kişisel bakım, kozmetik ürünleri vb.)
Tesliminden sonra başka ürünlerle karışan ve doğası gereği ayrıştırılması mümkün olmayan ürünler iade/değişim kapsamında değerlendirilmemektedir.
Ürünün tesliminden sonra ambalajın açılmış olması halinde maddi ortamda sunulan kitap, dijital içerik ve bilgisayar sarf malzemeleri iade/değişim kapsamında değerlendirilmemektedir.
Abonelik sözleşmesi kapsamında sağlananlar dışında, gazete, dergi gibi süreli yayınlar iade/değişim kapsamında değerlendirilmemektedir.
Belirli bir tarihte veya dönemde yapılması gereken, konaklama, eşya taşıma, araba kiralama, yiyecek- içecek tedariki ve boş zamanın değerlendirilmesine ilişkin ürünler iade/değişim kapsamında değerlendirilmemektedir.
Elektronik ortamda anında ifa edilen hizmetler veya anında teslim edilen gayrimaddi ürünler iade/değişim kapsamında değerlendirilmemektedir.
Yiyecek ve içecek gibi günlük tüketim maddelerinin, satıcının düzenli teslimatları çerçevesinde tüketicinin meskenine veya işyerine gönderilmesi iade/değişim kapsamında değerlendirilmemektedir.",Cicek,https://www.migros.com.tr/queen-creations-mystery-schlumbergera-p-1b910be,2024-10-30 12:22:07
https://www.migros.com.tr/assets/icons/fast-cart-icon.svg,Queen Creations - Mystery Schlumbergera,"199,95 TL",-,"İade Sürecini Nasıl Başlatabilirim?
Migros uygulamasından aldığınız ürünler için 14 gün gün içinde cayma hakkınızı kullanabilirsiniz. Bunun dışında, 30 gün içinde ilettiğiniz iade talepleri için müşteri memnuniyeti politikalarımız kapsamında iade talepleriniz değerlendirilecektir. İade sürecini 0850 200 40 00 telefon numarası üzerinden başlatabilirsiniz.
İade Koşulları:
Her türlü iadeler mutlak suretle orjinal kutu ve ürünün ambalajı (koruma bandı) bozulmaksızın yapılmalıdır.
Ürün fatura aslınının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Elektronik ürünler ve cep telefonları yetkili servis garantisinde bulunmaktadır. Üründe yaşanan sorun ya da ayıplı mal yetkili servis tarafından belgelendikten sonra tarafımızca tüm aksesuarları ile birlikte iade olarak kabul edilmektedir. Cep telefonları ürünlerinde kutu içerisindeki garanti belgesinin kaşelenmesi için ürünün kutusu açılmakta ve orjinal ambalajı açık şekilde teslim edilmektedir.
Kurulum gerektiren elektronik ürünler yetkili servis çalışanları tarafından açıldıktan sonra, herhangi bir hasar/kusur/ayıp tespit edilmesi halinde tespit tutanağı doldurtulması gerekir. Tespit tutanağı olmayan veya yetkili servis kontrolü dışında açılmış olan ürünler için iade/değişim işlemi gerçekleştirilemez.
Kargo belgesi ile teslim edilen ürünler kargo görevlisi huzurunda açılmalıdır. Ürünün dış ambalajında hiç bir hasar, açıklık, darbe, ıslaklık vb. olmaması, buna rağmen ürünün hasarlı çıkması durumunda, mevcut durum bir tutanakla karşılıklı olarak imza altına alınmalıdır. Kargo görevlisi tutanağın 1 nüshasını müşteriye vermekle yükümlüdür. Ürün hasar tespit tutanağının ve fatura aslının iade/değişim bildirimi ile birlikte gönderilmesi gerekmektedir.
Cayma Hakkının Geçerli Olmadığı Durumlar
Fiyatı finansal piyasalardaki dalgalanmalara bağlı olarak değişen ve satıcının kontrolünde olmayan ürün veya hizmetler iade/değişim kapsamında değerlendirilmemektedir.
Kişisel istekler doğrultusunda size özel olarak üretilen veya üzerinde değişiklik yapılan ürünler iade/değişim kapsamında degerlendirilmemektedir.
Çabuk bozulabilen veya son kullanma tarihi geçebilecek ürünler iade/değişim kapsamında değerlendirilmemektedir.
Sağlık veya hijyen açısından iadesi uygun olmayıp, tesliminden sonra ambalaj, bant, mühür, paket gibi koruyucu unsurları açılmış olan ürünler iade/değişim kapsamında değerlendirilmemektedir. (İç giyim, mayo, bikini, kişisel bakım, kozmetik ürünleri vb.)
Tesliminden sonra başka ürünlerle karışan ve doğası gereği ayrıştırılması mümkün olmayan ürünler iade/değişim kapsamında değerlendirilmemektedir.
Ürünün tesliminden sonra ambalajın açılmış olması halinde maddi ortamda sunulan kitap, dijital içerik ve bilgisayar sarf malzemeleri iade/değişim kapsamında değerlendirilmemektedir.
Abonelik sözleşmesi kapsamında sağlananlar dışında, gazete, dergi gibi süreli yayınlar iade/değişim kapsamında değerlendirilmemektedir.
Belirli bir tarihte veya dönemde yapılması gereken, konaklama, eşya taşıma, araba kiralama, yiyecek- içecek tedariki ve boş zamanın değerlendirilmesine ilişkin ürünler iade/değişim kapsamında değerlendirilmemektedir.
Elektronik ortamda anında ifa edilen hizmetler veya anında teslim edilen gayrimaddi ürünler iade/değişim kapsamında değerlendirilmemektedir.
Yiyecek ve içecek gibi günlük tüketim maddelerinin, satıcının düzenli teslimatları çerçevesinde tüketicinin meskenine veya işyerine gönderilmesi iade/değişim kapsamında değerlendirilmemektedir.",Cicek,https://www.migros.com.tr/queen-creations-mystery-schlumbergera-p-1b910be,2024-10-30 12:22:10
https://www.migros.com.tr/assets/icons/fast-cart-icon.svg,Queen Kalanchoe Q21,"319,95 TL",-,"Mağaza stoklarıyla sınırlıdır. Adet fiyatıdır. Tercih ettiğiniz çeşidi ürün notuna ekleyebilirsiniz. Tercih ettiğiniz çeşit mağaza stoklarında mevcut ise, tercih ettiğiniz çeşit teslimi yapılabilecektir.",Cicek,https://www.migros.com.tr/queen-kalanchoe-q21-p-1b91283,2024-10-30 12:22:12
https://www.migros.com.tr/assets/icons/fast-cart-icon.svg,Queen Kalanchoe Q21,"319,95 TL",-,"Mağaza stoklarıyla sınırlıdır. Adet fiyatıdır. Tercih ettiğiniz çeşidi ürün notuna ekleyebilirsiniz. Tercih ettiğiniz çeşit mağaza stoklarında mevcut ise, tercih ettiğiniz çeşit teslimi yapılabilecektir.",Cicek,https://www.migros.com.tr/queen-kalanchoe-q21-p-1b91283,2024-10-30 12:22:14
